metro,YEAR,Pedestrian,Bicyclist
Napa MSA,2011,1,
Napa MSA,2015,,1
Napa MSA,2017,2,
Napa MSA,2018,2,
Napa MSA,2019,3,
Napa MSA,2020,3,
Oakland-Hayward-Berkeley MD,2001,16,1
Oakland-Hayward-Berkeley MD,2002,28,5
Oakland-Hayward-Berkeley MD,2003,21,4
Oakland-Hayward-Berkeley MD,2004,19,5
Oakland-Hayward-Berkeley MD,2005,22,1
Oakland-Hayward-Berkeley MD,2006,20,7
Oakland-Hayward-Berkeley MD,2007,19,2
Oakland-Hayward-Berkeley MD,2008,30,4
Oakland-Hayward-Berkeley MD,2009,10,3
Oakland-Hayward-Berkeley MD,2010,20,3
Oakland-Hayward-Berkeley MD,2011,22,3
Oakland-Hayward-Berkeley MD,2012,23,10
Oakland-Hayward-Berkeley MD,2013,26,8
Oakland-Hayward-Berkeley MD,2014,22,5
Oakland-Hayward-Berkeley MD,2015,32,5
Oakland-Hayward-Berkeley MD,2016,31,4
Oakland-Hayward-Berkeley MD,2017,29,3
Oakland-Hayward-Berkeley MD,2018,22,5
Oakland-Hayward-Berkeley MD,2019,39,2
Oakland-Hayward-Berkeley MD,2020,36,6
Oxnard-Thousand Oaks-Ventura MSA,2001,3,3
Oxnard-Thousand Oaks-Ventura MSA,2002,11,2
Oxnard-Thousand Oaks-Ventura MSA,2003,4,2
Oxnard-Thousand Oaks-Ventura MSA,2004,7,
Oxnard-Thousand Oaks-Ventura MSA,2005,9,4
Oxnard-Thousand Oaks-Ventura MSA,2006,8,10
Oxnard-Thousand Oaks-Ventura MSA,2007,7,3
Oxnard-Thousand Oaks-Ventura MSA,2008,4,2
Oxnard-Thousand Oaks-Ventura MSA,2009,10,2
Oxnard-Thousand Oaks-Ventura MSA,2010,4,1
Oxnard-Thousand Oaks-Ventura MSA,2011,5,2
Oxnard-Thousand Oaks-Ventura MSA,2012,8,3
Oxnard-Thousand Oaks-Ventura MSA,2013,9,5
Oxnard-Thousand Oaks-Ventura MSA,2014,7,2
Oxnard-Thousand Oaks-Ventura MSA,2015,9,
Oxnard-Thousand Oaks-Ventura MSA,2016,5,1
Oxnard-Thousand Oaks-Ventura MSA,2017,4,
